cvrp_id,purch_lease,veh_model,tot_rebate,purch_price,air_dstrct,cnty,zipcode,census_trct,prev_tech_type,reason,residence_type,solar_panels,num_cars_HH,num_lic_drvr_HH,gender,HH_education,HH_income,tax_filing_status,HH_size,amer_indian_alskn_native,blck_afr_amer,east_asian,latino,middl_eastern,hawii_pac_islnd,south_asian,white,nan_ethnic,other_ethnic,cvrp_17,tech_type,age
A-236453,Lease,FIAT 500e,4500,34981.13,South Coast,Los Angeles,90034,6037271802.0,5.0,2.0,1,5.0,1.0,1.0,2.0,6,1.0,1.0,1.0,,,1.0,,,,,,,,0,BEV,4.0
A-282633,Lease,FIAT 500e,4500,31858.08,South Coast,Los Angeles,90604,6037503701.0,,2.0,1,5.0,2.0,2.0,2.0,6,2.0,1.0,2.0,,,,,,,,1.0,,,1,BEV,2.0
A-222048,Lease,Chevrolet Volt,3500,32414.15,South Coast,Los Angeles,90278,6037620701.0,2.0,2.0,1,3.0,2.0,2.0,1.0,6,-77.0,-77.0,2.0,,,,,,,,1.0,,,0,PHEV,5.0
A-241582,Lease,Kia Soul EV,4500,30750.0,South Coast,Los Angeles,90606,6037502302.0,2.0,1.0,1,4.0,2.0,3.0,1.0,5,1.0,1.0,4.0,,,,1.0,,,,,,,0,BEV,5.0
A-193856,Lease,Chevrolet Volt,3000,32278.5,South Coast,Los Angeles,90042,6037183103.0,5.0,1.0,2,3.0,4.0,2.0,1.0,2,2.0,2.0,4.0,,,,1.0,,,,,,,0,PHEV,4.0
A-264344,Purchase,Toyota Prius Prime,3500,29384.0,Yolo-Solano,Solano,95687,6095252910.0,2.0,5.0,1,1.0,4.0,4.0,1.0,4,4.0,2.0,5.0,,,,,,,,1.0,,,1,PHEV,5.0
A-269292,Lease,Chevrolet Bolt EV,4500,32815.0,South Coast,Los Angeles,90404,6037701801.0,,2.0,-77,5.0,2.0,2.0,1.0,4,3.0,2.0,4.0,,,,1.0,,,,,,,1,BEV,2.0
A-223716,Lease,Ford C-MAX Energi,3500,33300.0,San Diego,San Diego,92139,6073003209.0,2.0,9.0,1,4.0,2.0,4.0,1.0,1,3.0,1.0,9.0,,,,,,,,1.0,,,0,PHEV,6.0
A-270533,Lease,Kia Soul EV,4500,36264.48,Bay Area,Sonoma,95472,6097153401.0,2.0,2.0,1,4.0,2.0,2.0,2.0,5,4.0,2.0,4.0,,,,,,,,1.0,,,1,BEV,4.0
A-235151,Purchase,Toyota Prius Prime,3500,29882.49,South Coast,Riverside,92592,6065043254.0,,2.0,1,3.0,4.0,3.0,2.0,6,4.0,2.0,4.0,,,,,,,,1.0,,,0,PHEV,4.0
A-254389,Lease,Kia Optima Plug-in Hybrid,3500,32068.0,South Coast,Los Angeles,90033,6037203720.0,2.0,2.0,2,5.0,2.0,2.0,2.0,3,3.0,1.0,4.0,,,,1.0,,,,,,,1,PHEV,2.0
A-269288,Lease,Tesla Model S 70 and above,4500,84000.0,Bay Area,San Mateo,94025,6081612800.0,2.0,2.0,1,5.0,2.0,2.0,1.0,6,-77.0,2.0,4.0,,,,,,,,1.0,,,1,BEV,5.0
A-214077,Lease,FIAT 500e,4500,32350.0,South Coast,Orange,92646,6059099239.0,1.0,2.0,1,4.0,2.0,2.0,2.0,3,2.0,4.0,3.0,,,,,,,,1.0,,,0,BEV,3.0
A-270996,Lease,Chevrolet Bolt EV,4500,34997.18,South Coast,Los Angeles,91403,6037128801.0,,1.0,3,5.0,1.0,1.0,2.0,5,1.0,1.0,1.0,,,,,,,,1.0,,,1,BEV,3.0
A-219525,Lease,Tesla Model S 60,4500,78700.0,South Coast,Los Angeles,90638,6037503703.0,6.0,6.0,1,4.0,1.0,1.0,1.0,3,2.0,1.0,1.0,,,1.0,,,,,,,,0,BEV,3.0
A-219524,Purchase,Toyota Prius Prime,3500,29888.0,San Diego,San Diego,91941,6073014602.0,2.0,2.0,1,4.0,1.0,1.0,1.0,5,2.0,1.0,3.0,,,,,,,1.0,,,,0,PHEV,3.0
A-270343,Purchase,Ford Fusion Energi,3500,33100.0,South Coast,San Bernardino,92316,6071003606.0,2.0,1.0,-99,4.0,3.0,4.0,1.0,2,3.0,2.0,6.0,,,,1.0,,,,,,,1,PHEV,2.0
A-235184,Lease,Ford Fusion Energi,3500,33350.0,South Coast,Los Angeles,90245,6037620102.0,6.0,1.0,1,4.0,3.0,3.0,1.0,2,3.0,4.0,4.0,,,,,,,,1.0,,,0,PHEV,5.0
A-212435,Lease,Nissan LEAF S,4000,29500.0,Yolo-Solano,Yolo,95618,6113010608.0,,2.0,3,5.0,1.0,1.0,2.0,5,1.0,1.0,2.0,,,1.0,,,,,,,,0,BEV,3.0
A-269208,Lease,Chevrolet Volt,3500,30299.0,Bay Area,Santa Clara,94040,6085509105.0,2.0,2.0,3,5.0,4.0,3.0,1.0,5,4.0,1.0,3.0,,,,,,,,1.0,,,1,PHEV,2.0
A-235178,Purchase,Toyota Prius Prime,3500,29358.0,South Coast,Los Angeles,91766,6037402804.0,2.0,1.0,3,5.0,1.0,2.0,2.0,5,1.0,2.0,2.0,,,1.0,,,,,,,,0,PHEV,3.0
A-254606,Lease,Chevrolet Bolt EV,4500,42586.8,San Diego,San Diego,92020,6073016100.0,2.0,2.0,1,3.0,2.0,2.0,1.0,4,-77.0,1.0,2.0,,,,,,,,1.0,,,1,BEV,6.0
A-219557,Lease,Nissan LEAF S,4500,28893.0,South Coast,Los Angeles,90731,6037297500.0,8.0,2.0,1,1.0,2.0,3.0,1.0,5,2.0,2.0,3.0,,,,,,,,1.0,,,0,BEV,7.0
A-222992,Lease,FIAT 500e,4500,34340.0,Bay Area,Santa Clara,95035,6085504415.0,8.0,3.0,1,3.0,1.0,1.0,2.0,4,2.0,1.0,1.0,,,,,,,1.0,,,,0,BEV,7.0
A-223746,Lease,FIAT 500e,4500,33499.42,South Coast,Los Angeles,91206,6037302004.0,,1.0,3,5.0,3.0,3.0,-77.0,3,2.0,-77.0,4.0,,,,,,,,1.0,,,0,BEV,4.0
A-261571,Lease,FIAT 500e,4500,30591.56,San Diego,San Diego,92011,6073017808.0,2.0,2.0,1,4.0,2.0,2.0,1.0,6,2.0,2.0,4.0,,,,,,,,1.0,,,1,BEV,4.0
A-260964,Lease,Chevrolet Bolt EV,4500,36676.02,San Joaquin Valley Unified,San Joaquin,95205,6077001500.0,2.0,2.0,1,3.0,3.0,2.0,1.0,3,3.0,2.0,4.0,,,,1.0,,,,,,,1,BEV,3.0
A-222523,Lease,Chevrolet Volt,3500,30038.55,Bay Area,San Francisco,94122,6075030302.0,,3.0,3,5.0,1.0,1.0,2.0,5,1.0,1.0,1.0,,,,,,,,1.0,,,0,PHEV,2.0
